userName,password,email,name,surname,dateOfBirth,gender,maritalState,hasKids,hasPets,extrovert,natureLover,museumLover,sportLover
timothy44,ju0K52G0M&,sbarron@example.net,Gina,Morales,1966-01-20,Female,Married,1,1,0,0,1,0
sholt,iX7X@CYs!j,pamelameyer@example.org,Tiffany,Ball,1975-09-30,Female,Married,0,1,0,1,1,0
pglass,*4E9z#DinT,whitechristy@example.com,Anthony,Baker,1965-04-21,Other,Divorced,1,0,1,0,1,0
sextonriley,Z4XRvlD_@#,jerry22@example.net,Michael,Smith,1990-03-11,Male,Single,0,0,0,1,1,0
stephanie67,E+7ORdo0Bx,bthompson@example.net,Jonathan,Sherman,1972-04-18,Other,Married,1,1,0,0,1,0
laurie14,&*@27oUb5I,joe76@example.net,Teresa,Quinn,1983-06-30,Male,Single,1,1,1,0,1,0
jeremy12,)cbJ43hEK7,jamesforbes@example.com,Danielle,Jackson,1990-11-04,Female,Divorced,1,1,0,1,0,0
calvin75,)9ZF(XvbfX,oolson@example.net,David,Waters,1953-05-19,Other,Divorced,0,1,0,1,1,1
cthornton,og9EMWniC+,vnelson@example.com,Sandra,Miller,1978-01-21,Male,Married,0,0,0,1,1,0
adam47,)7w1Hsl4%5,ithompson@example.net,Elizabeth,Conrad,1971-08-07,Male,Single,0,1,0,1,0,0
ivasquez,bT#9Lzru@*,swansonjamie@example.org,Jeffrey,Simon,1978-08-04,Female,Divorced,0,1,1,0,1,0
ivangonzalez,^8Z$t8I4hU,gwood@example.org,Lauren,Smith,1960-07-23,Other,Married,0,0,0,1,0,0
billy26,#5QQUruDDj,wileysarah@example.com,Bryan,Martin,1967-03-15,Female,Married,1,1,0,1,1,0
angelica15,p4r3LfRh%Z,jacqueline46@example.net,Shannon,Massey,1974-03-08,Female,Divorced,1,0,0,0,0,0
heather67,FmI9wDNk+D,tanya18@example.com,Stephanie,Parker,1995-03-10,Male,Married,0,0,0,0,0,0
vbrooks,d$8#GI4pQz,matthew98@example.com,Taylor,Bell,1995-03-19,Other,Single,1,0,0,0,1,1
joelhamilton,qi7R9KBh$9,johnathan48@example.net,Gail,Davis,2005-10-20,Female,Single,1,1,0,1,1,0
asmith,+N8OqAnW43,stephenssierra@example.com,Rebecca,Velasquez,1955-07-05,Male,Single,1,0,0,0,1,1
bradley26,HUoDRxge#0,xbrown@example.com,Courtney,Huerta,1980-03-11,Other,Single,1,1,1,1,0,0
